Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
fr_benzene,1.2589413447782547,1.3433333333333333,1.0,1.0,-1.658664243239573,0.09749800135487037,"nope, deze niet",74,nope,61
fr_benzodiazepine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_bicyclic,0.4744525547445255,0.5491525423728814,0.0,0.0,-1.488571403937332,0.13692263325529205,"nope, deze niet",74,nope,61
fr_diazo,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_dihydropyridine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_epoxide,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_ester,0.12716763005780346,0.10580204778156997,0.0,0.0,0.9400285337873691,0.3474338544721238,"nope, deze niet",74,nope,61
fr_ether,0.6975397973950795,0.7186440677966102,0.0,0.0,-0.3604359772932026,0.7185984808016039,"nope, deze niet",74,nope,61
fr_furan,0.0,0.12080536912751678,0.0,0.0,-9.47687304812085,2.0162462396573806e-20,goed verschilletje hiero,74,woow,61
fr_guanido,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_halogen,0.3884057971014493,0.29553264604810997,0.0,0.0,2.0037143262387933,0.04537583283450274,goed verschilletje hiero,74,nope,61
fr_hdrzine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_hdrzone,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_imidazole,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_imide,0.0,0.06734006734006734,0.0,0.0,-6.922038595076614,8.134794358273852e-12,goed verschilletje hiero,74,woow,61
fr_isocyan,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_isothiocyan,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_ketone,0.0,0.12162162162162163,0.0,0.0,-9.47679930981776,2.0464961798426686e-20,goed verschilletje hiero,74,woow,61
fr_ketone_Topliss,0.0,0.10810810810810811,0.0,0.0,-8.894146238991922,2.9265573911039376e-18,goed verschilletje hiero,74,woow,61
fr_lactam,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_lactone,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
