Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
fr_aryl_methyl,0.5142857142857142,0.4266666666666667,1.6482503677975253,0.09961605345429997,"nope, deze niet",54,nope
fr_azide,0.0,0.0,,,"nope, deze niet",54,nope
fr_azo,0.0,0.0033333333333333335,-1.528546646163711,0.12669373986711707,"nope, deze niet",54,nope
fr_barbitur,0.004285714285714286,0.01,-1.0718101410311744,0.2840644316832727,"nope, deze niet",54,nope
fr_benzene,1.262857142857143,1.3433333333333333,-1.5719872225559595,0.11627047268862922,"nope, deze niet",54,nope
fr_benzodiazepine,0.0,0.0,,,"nope, deze niet",54,nope
fr_bicyclic,0.5657142857142857,0.6166666666666667,-0.7922394237063672,0.42840935619790854,"nope, deze niet",54,nope
fr_diazo,0.0,0.0,,,"nope, deze niet",54,nope
fr_dihydropyridine,0.0,0.0,,,"nope, deze niet",54,nope
fr_epoxide,0.0,0.0,,,"nope, deze niet",54,nope
fr_ester,0.14857142857142858,0.15666666666666668,-0.28576603397451195,0.7751166255690467,"nope, deze niet",54,nope
fr_ether,0.74,0.7766666666666666,-0.574163078950603,0.5659868315913841,"nope, deze niet",54,nope
fr_furan,0.06571428571428571,0.13333333333333333,-3.384753651851207,0.0007401571485505148,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_guanido,0.008571428571428572,0.0033333333333333335,0.9099232017682675,0.3630827128039458,"nope, deze niet",54,nope
fr_halogen,0.45714285714285713,0.38666666666666666,1.1758717381027766,0.2399265567676348,"nope, deze niet",54,nope
fr_hdrzine,0.03428571428571429,0.043333333333333335,-0.6940647824672384,0.4878031044828248,"nope, deze niet",54,nope
fr_hdrzone,0.04285714285714286,0.07333333333333333,-1.9910888451687088,0.046743416210877575,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
fr_imidazole,0.06714285714285714,0.04,1.6406263552389584,0.10119010336504089,"nope, deze niet",54,nope
fr_imide,0.055714285714285716,0.08666666666666667,-1.6408761980988418,0.10113820832611557,"nope, deze niet",54,nope
fr_isocyan,0.0,0.0,,,"nope, deze niet",54,nope
fr_isothiocyan,0.0,0.0,,,"nope, deze niet",54,nope
fr_ketone,0.07857142857142857,0.15333333333333332,-3.155767635813458,0.001648707075476733,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_ketone_Topliss,0.06857142857142857,0.14,-3.224704927149976,0.0013019612691709446,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_lactam,0.0014285714285714286,0.0033333333333333335,-0.6173312336409359,0.5371570887594179,"nope, deze niet",54,nope
fr_lactone,0.008571428571428572,0.013333333333333334,-0.6320756407998603,0.5274822174932785,"nope, deze niet",54,nope
fr_methoxy,0.27285714285714285,0.32,-1.166738366901774,0.24359475556501609,"nope, deze niet",54,nope
fr_morpholine,0.055714285714285716,0.07,-0.8561105866634915,0.39214211239263064,"nope, deze niet",54,nope
fr_nitrile,0.054285714285714284,0.056666666666666664,-0.13220711325728543,0.8948471238341428,"nope, deze niet",54,nope
fr_nitro,0.07285714285714286,0.13666666666666666,-3.0343465361598727,0.002473004602627655,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_nitro_arom,0.05142857142857143,0.10666666666666667,-3.0067388051071235,0.0027067891702780354,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_nitro_arom_nonortho,0.03428571428571429,0.05333333333333334,-1.3403654941715697,0.18043159479385656,"nope, deze niet",54,nope
fr_nitroso,0.0014285714285714286,0.0,0.6544663324094762,0.5129622021642409,"nope, deze niet",54,nope
fr_oxazole,0.01,0.0033333333333333335,1.0840226613690547,0.27861655950729897,"nope, deze niet",54,nope
fr_oxime,0.007142857142857143,0.0,1.467636479013919,0.1425180616316922,"nope, deze niet",54,nope
fr_para_hydroxylation,0.3414285714285714,0.3233333333333333,0.4199956086267092,0.6745790643170706,"nope, deze niet",54,nope
fr_phenol,0.03428571428571429,0.02666666666666667,0.6075148635943312,0.5436474838612302,"nope, deze niet",54,nope
fr_phenol_noOrthoHbond,0.03428571428571429,0.02666666666666667,0.6075148635943312,0.5436474838612302,"nope, deze niet",54,nope
