Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
NumAliphaticHeterocycles,0.3,0.665,0.0,1.0,-11.898543615749677,1.367344296357511e-31,-11.898543615749677,1.367344296357511e-31,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumAliphaticRings,0.38857142857142857,1.065,0.0,1.0,-16.996849110132114,1.2813428463978472e-60,-16.996849110132114,1.2813428463978472e-60,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumAromaticCarbocycles,1.2457142857142858,1.2166666666666666,1.0,1.0,0.816025000722125,0.4145831098524846,0.816025000722125,0.4145831098524846,"nope, deze niet",127,nope,127,"nope, deze niet"
NumAromaticHeterocycles,1.15,0.6716666666666666,1.0,1.0,11.741019143576294,7.888139976401034e-31,11.741019143576294,7.888139976401034e-31,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumAromaticRings,2.395714285714286,1.8883333333333334,2.0,2.0,10.930051081958684,4.7486596956466055e-27,10.930051081958684,4.7486596956466055e-27,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumHAcceptors,4.235,4.87,4.0,5.0,-7.072040171060124,2.102726899644511e-12,-7.072040171060124,2.102726899644511e-12,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumHDonors,1.0092857142857143,1.0983333333333334,1.0,1.0,-2.0612850688617037,0.039404971221703146,-2.0612850688617037,0.039404971221703146,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,nope,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumHeteroatoms,5.852857142857143,6.758333333333334,6.0,7.0,-8.67915237297919,8.118460184144121e-18,-8.67915237297919,8.118460184144121e-18,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumRotatableBonds,3.907142857142857,4.618333333333333,4.0,4.0,-6.830407982933714,1.119914180659038e-11,-6.830407982933714,1.119914180659038e-11,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumSaturatedCarbocycles,0.06357142857142857,0.25166666666666665,0.0,0.0,-8.485397739038126,4.122594597044568e-17,-8.485397739038126,4.122594597044568e-17,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumSaturatedHeterocycles,0.17714285714285713,0.44666666666666666,0.0,0.0,-10.972081154049045,3.065135595936086e-27,-10.972081154049045,3.065135595936086e-27,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumSaturatedRings,0.24071428571428571,0.6983333333333334,0.0,1.0,-13.863964439511387,8.461131230446324e-42,-13.863964439511387,8.461131230446324e-42,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
RingCount,2.7842857142857143,2.953333333333333,3.0,3.0,-3.5345326705508398,0.0004177879278659555,-3.5345326705508398,0.0004177879278659555,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MolLogP,2.732402178571433,2.6309410166666667,2.8842000000000003,2.7620000000000013,1.5297974480521208,0.12622517185760168,1.5297974480521208,0.12622517185760168,"nope, deze niet",127,nope,127,"nope, deze niet"
MolMR,80.45016771428568,94.56621216666667,79.09865000000002,94.34850000000002,-14.363373546941517,1.349175775510258e-44,-14.363373546941517,1.349175775510258e-44,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
