Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
PEOE_VSA3,4.836643330687186,4.9860828100815455,4.794537184071822,4.794537184071822,-0.4385309856998835,0.6610971878289766,"nope, deze niet",82,nope,60
PEOE_VSA4,2.065932454850721,2.3643558985700617,0.0,0.0,-1.212202278942544,0.22572771864807792,"nope, deze niet",82,nope,60
PEOE_VSA5,2.145853797612584,2.5704315905349193,0.0,0.0,-1.3942169174541943,0.16356908406693607,"nope, deze niet",82,nope,60
PEOE_VSA6,22.76845690367078,23.969485835436995,19.746202942254655,23.846722364717706,-1.1366764021768379,0.25594809119109646,"nope, deze niet",82,nope,60
PEOE_VSA7,32.06316875273769,34.81574721967393,31.02156694794886,35.283931858715405,-2.7726272527356013,0.0056645364840664245,goed verschilletje hiero,82,woow,60
PEOE_VSA8,27.466832041628418,28.529711394574925,26.24781428545915,28.1885626432786,-1.0396739392794474,0.29874423454862437,"nope, deze niet",82,nope,60
PEOE_VSA9,27.97254559828056,29.04188570325958,25.721145963634402,27.780513562356575,-1.0660812080029,0.28664658914502544,"nope, deze niet",82,nope,60
SMR_VSA1,39.44890865150481,41.01970627563951,38.828755872972344,40.540207276081716,-1.8252827728853063,0.06825894098154048,"nope, deze niet",82,nope,60
SMR_VSA10,21.83333014181261,27.69497958222963,22.500677879214848,27.472562377482262,-7.694509501770472,3.422196326489934e-14,goed verschilletje hiero,82,woow,60
SMR_VSA2,0.18293529453349477,0.16248206047745828,0.0,0.0,0.5138043812552175,0.6075084984078983,"nope, deze niet",82,nope,60
SMR_VSA3,9.360128302808107,8.317339542901177,9.56900162290494,5.3643147498404025,2.139778845747803,0.03261510983824211,goed verschilletje hiero,82,nope,60
SMR_VSA4,1.7230032537016622,1.9639921151838318,0.0,0.0,-1.0466508387586126,0.29552057578519125,"nope, deze niet",82,nope,60
SMR_VSA5,20.77090163167259,20.622795612715528,18.763742271008404,18.794805050308575,0.14231429555426692,0.886860799854299,"nope, deze niet",82,nope,60
SMR_VSA6,15.321411463732925,16.60641951504395,12.99371936863189,13.055844927232233,-1.4661576446051834,0.14292256906890244,"nope, deze niet",82,nope,60
SMR_VSA7,49.14453655513789,51.972836748466065,50.144568604948084,52.25682221951431,-1.9724075216388737,0.04883938535661632,goed verschilletje hiero,82,nope,60
SMR_VSA8,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
SMR_VSA9,5.003117527826907,5.014018168483851,5.687386274683562,5.401253296613055,-0.026470815383990178,0.978887129965477,"nope, deze niet",82,nope,60
SlogP_VSA1,9.19611314787858,9.671401761342763,10.039701056370468,9.799819461700956,-1.195999098176089,0.23198241603745964,"nope, deze niet",82,nope,60
SlogP_VSA10,4.9699981717851465,5.317412746054192,5.131558479839333,5.687386274683562,-0.9735368318400673,0.330525333686026,"nope, deze niet",82,nope,60
SlogP_VSA11,2.5922635268980847,3.13366349873938,0.0,0.0,-1.8605471523042336,0.0631084288468568,"nope, deze niet",82,nope,60
SlogP_VSA12,5.927591091686825,8.664268876463362,0.0,11.336785877934737,-4.898543566946282,1.1282837679031812e-06,goed verschilletje hiero,82,woow,60
SlogP_VSA2,31.1764944950137,32.783955075323924,28.488555007684134,31.127545954356062,-1.5016995609322974,0.1334923064568474,"nope, deze niet",82,nope,60
SlogP_VSA3,10.182049437868026,10.276730454878777,9.53140013787187,9.589074368143644,-0.18188165315352123,0.855712648961317,"nope, deze niet",82,nope,60
SlogP_VSA4,5.711847843369244,5.7289595731148175,5.817220841045895,0.0,-0.03725699174301206,0.9702876617785637,"nope, deze niet",82,nope,60
SlogP_VSA5,45.47801052581762,47.481496695782994,42.751124538556105,45.470048629617736,-1.4316869996372374,0.1525493546844932,"nope, deze niet",82,nope,60
SlogP_VSA6,39.91303880247379,43.003763715092454,41.1995667479578,43.6674490141929,-2.3849374335277047,0.017268264165243127,goed verschilletje hiero,82,nope,60
SlogP_VSA7,2.3130685299367575,2.147178950771589,1.4118420783282006,1.4118420783282006,1.0751913512062798,0.2825561557114935,"nope, deze niet",82,nope,60
